dataset,n,rep,err_LR,err_V2,fit_s_LR,fit_s_V2
D1,1000,0,0.104,0.132,0.004509399994276464,0.829490000003716
D1,1000,1,0.1,0.1,0.0027123999898321927,0.18273850000696257
D1,1000,2,0.068,0.104,0.0024328000145033,0.5392705999838654
D1,1000,3,0.084,0.108,0.004307099996367469,0.6929326000099536
D1,1000,4,0.064,0.1,0.0024770000018179417,0.6004210999817587
D1,3000,0,0.072,0.072,0.0034318999969400465,0.14198590000160038
D1,3000,1,0.064,0.064,0.003183000022545457,0.14553399998112582
D1,3000,2,0.072,0.072,0.00296019998495467,0.12253739999141544
D1,3000,3,0.058666666666666666,0.058666666666666666,0.005580800003372133,0.13536939999903552
D1,3000,4,0.092,0.10533333333333333,0.0033285999961663038,0.3494975999929011
D1,5000,0,0.0864,0.0864,0.00388329999987036,0.1678232999984175
D1,5000,1,0.0736,0.0736,0.0037705000140704215,0.16464859998086467
D1,5000,2,0.0816,0.0672,0.0038352000119630247,0.6545218999963254
D1,5000,3,0.084,0.084,0.004276799998478964,0.18889280001167208
D1,5000,4,0.092,0.092,0.003737700026249513,0.1657159999886062
D2,1000,0,0.148,0.172,0.0024298999924212694,0.7709360000153538
D2,1000,1,0.2,0.184,0.0023689999943599105,0.9132294000010006
D2,1000,2,0.14,0.14,0.002302799985045567,0.13336569999228232
D2,1000,3,0.148,0.196,0.002289399999426678,1.0003876000118908
D2,1000,4,0.16,0.208,0.0024338000221177936,0.7757482999877539
D2,3000,0,0.15466666666666667,0.15466666666666667,0.0029574999934993684,0.17983799998182803
D2,3000,1,0.172,0.15066666666666667,0.0030573999974876642,0.4817493000009563
D2,3000,2,0.168,0.148,0.0031140999926719815,0.7051634000090417
D2,3000,3,0.16933333333333334,0.16933333333333334,0.00295140000525862,0.16547770000761375
D2,3000,4,0.18,0.152,0.002974200004246086,0.4645435999846086
D2,5000,0,0.176,0.16,0.004199100018013269,0.9705359000072349
D2,5000,1,0.16,0.16,0.0036063999868929386,0.2032121000229381
D2,5000,2,0.1504,0.1368,0.0035103999834973365,0.7927474000025541
D2,5000,3,0.1624,0.14,0.0037640000227838755,0.5210556999954861
D2,5000,4,0.1592,0.1272,0.003566299972590059,0.7861458000261337
D3,1000,0,0.416,0.416,0.002134100010152906,0.12638800000422634
D3,1000,1,0.376,0.428,0.0019186999998055398,0.8276120999944396
D3,1000,2,0.444,0.412,0.0021038999839220196,0.8055057000019588
D3,1000,3,0.38,0.448,0.002067299996269867,0.8679296000045724
D3,1000,4,0.44,0.44,0.002896000019973144,0.11616619999404065
D3,3000,0,0.37466666666666665,0.4266666666666667,0.0025867999938782305,0.7650206999969669
D3,3000,1,0.36,0.38666666666666666,0.0025938999897334725,0.7923855000117328
D3,3000,2,0.37866666666666665,0.38266666666666665,0.00258540001232177,0.5479822999914177
D3,3000,3,0.38,0.4106666666666667,0.0025093999865930527,0.7894165000179783
D3,3000,4,0.396,0.4066666666666667,0.0025488999963272363,0.8062612000212539
D3,5000,0,0.3728,0.38,0.0031909999961499125,0.8007004999963101
D3,5000,1,0.3744,0.4032,0.0028371000080369413,0.8447088999964762
D3,5000,2,0.388,0.3928,0.003167199989547953,0.6414877999923192
D3,5000,3,0.3816,0.3984,0.0029362000059336424,0.8847755000169855
D3,5000,4,0.3896,0.384,0.002804100018693134,0.8502939000027254
D4,1000,0,0.368,0.368,0.0022035999863874167,0.1261192999954801
D4,1000,1,0.332,0.356,0.002245100011350587,1.0196469999791589
D4,1000,2,0.324,0.368,0.0023480000090785325,0.6490994000050705
D4,1000,3,0.388,0.432,0.002144600002793595,0.950364799995441
D4,1000,4,0.344,0.364,0.004173000023001805,0.8945604000182357
D4,3000,0,0.344,0.368,0.0026916000060737133,0.9337127000035252
D4,3000,1,0.3413333333333333,0.3413333333333333,0.003228900022804737,0.15670419999514706
D4,3000,2,0.3506666666666667,0.388,0.0028128999983891845,0.7881751999957487
D4,3000,3,0.3373333333333333,0.36133333333333334,0.0036276000028010458,0.7954707999888342
D4,3000,4,0.3373333333333333,0.37066666666666664,0.0025267000019084662,0.8175159999809694
D4,5000,0,0.348,0.3536,0.0031083999783731997,0.6719498000165913
D4,5000,1,0.3464,0.3384,0.0035044999967794865,1.0118511999899056
D4,5000,2,0.3408,0.348,0.003821799997240305,0.9566510999866296
D4,5000,3,0.3488,0.3696,0.007872999995015562,1.4744859999918845
D4,5000,4,0.3472,0.3712,0.007804599998053163,1.9816806000017095
