dataset,n,err_LR_mean,err_LR_std,err_V2_mean,err_V2_std,delta_mean
D1,1000,0.084,0.018110770276274835,0.10880000000000001,0.01338656042454521,0.024800000000000003
D1,3000,0.07173333333333334,0.012663157408622684,0.0744,0.01819401611031007,0.0026666666666666505
D1,5000,0.08352000000000001,0.006755146186427058,0.08064,0.010046292848608385,-0.0028799999999999937
D2,1000,0.1592,0.02389979079406345,0.18,0.026076809620810593,0.020799999999999985
D2,3000,0.1688,0.00916999939415967,0.1549333333333333,0.008401058134412462,-0.013866666666666666
D2,5000,0.16160000000000002,0.00924337600663306,0.14479999999999998,0.014653327267211356,-0.01680000000000001
D3,1000,0.4112,0.032174524083504324,0.4288,0.015336231610144664,0.017600000000000005
D3,3000,0.3778666666666667,0.012878923350446166,0.4026666666666666,0.01811077027627485,0.02479999999999999
D3,5000,0.38128,0.007644082678778398,0.39168,0.009676362953093478,0.01039999999999991
D4,1000,0.3512,0.02644239020966145,0.3776,0.030802597293085533,0.026400000000000035
D4,3000,0.3421333333333333,0.005545769158156124,0.3658666666666667,0.01688128483788416,0.023733333333333384
D4,5000,0.34624,0.0031698580409854258,0.35616,0.014101347453346466,0.009919999999999984
