dataset,base,Simple_mean,Simple_std,V2_mean,V2_std,delta_mean
chess,Linear,0.059448246703485454,0.007634223988068656,0.053814443886584046,0.009376849597281045,-0.005633802816901408
chess,Logistic,0.024093990669050786,0.00391959964686309,0.014079515659728642,0.0016176934583165532,-0.010014475009322142
chess,MLP,0.038486201763426084,0.0032626394854209577,0.038486201763426084,0.0032626394854209577,0.0
german,Linear,0.2589805374236512,0.026943964692783703,0.2589805374236512,0.026943964692783703,0.0
german,Logistic,0.264971558384732,0.02965618699577654,0.264971558384732,0.02965618699577654,0.0
german,MLP,0.25598352843861827,0.021823830291786767,0.2840145534756313,0.013961548906111648,0.028031025037013085
magic,Linear,0.21614090431125133,0.0037136095449864025,0.1692954784437434,0.005048140048824472,-0.046845425867507895
magic,Logistic,0.20962145110410094,0.0031068952056139193,0.1607255520504732,0.003980892575433413,-0.048895899053627755
magic,MLP,0.17229232386961094,0.0031872648930026623,0.1725552050473186,0.0073118782249206715,0.000262881177707693
spambase,Linear,0.11149977901777297,0.00910214417237635,0.10454528831589431,0.01420234533351373,-0.006954490701878674
spambase,Logistic,0.07563602200240231,0.0091996488836757,0.07824542663177443,0.01078957368314951,0.0026094046293721244
spambase,MLP,0.08476475669417392,0.0026361042252260334,0.10649443944080582,0.03538733816279617,0.021729682746631895
