dataset,n,rep,err_LR,err_V2,fit_s_LR,fit_s_V2
D1,1000,0,0.064,0.064,0.005401800008257851,0.21359329999540932
D1,1000,1,0.1,0.1,0.002840400004060939,0.2535515000054147
D1,1000,2,0.108,0.108,0.003102599992416799,0.20973709999816492
D1,1000,3,0.072,0.072,0.0034961999917868525,0.1998209000157658
D1,1000,4,0.04,0.04,0.0033559000003151596,0.2300530000065919
D1,3000,0,0.11333333333333333,0.15333333333333332,0.0036930000060237944,1.0247424000117462
D1,3000,1,0.09466666666666666,0.09466666666666666,0.004742200020700693,0.18107489999965765
D1,3000,2,0.096,0.104,0.004873099998803809,0.9432145000027958
D1,3000,3,0.09866666666666667,0.09866666666666667,0.0041917999915312976,0.17312099999981
D1,3000,4,0.10533333333333333,0.10533333333333333,0.004256199987139553,0.18495190000976436
D2,1000,0,0.156,0.204,0.0032961000106297433,1.110304100002395
D2,1000,1,0.16,0.16,0.00329510000301525,0.1755434999940917
D2,1000,2,0.168,0.22,0.003823199978796765,1.0255915000161622
D2,1000,3,0.204,0.276,0.0024738999782130122,1.1617280000064056
D2,1000,4,0.22,0.224,0.002460499992594123,1.0331749000179116
D2,3000,0,0.156,0.144,0.0032728999794926494,1.2529578999965452
D2,3000,1,0.196,0.19066666666666668,0.0032876000041142106,0.8125058999867178
D2,3000,2,0.18533333333333332,0.18533333333333332,0.003045599994948134,0.1964966999948956
D2,3000,3,0.13466666666666666,0.13066666666666665,0.003771200019400567,0.49007390000042506
D2,3000,4,0.168,0.15733333333333333,0.0029958000231999904,0.5595509999839123
D3,1000,0,0.376,0.396,0.002366300002904609,1.0179490000009537
D3,1000,1,0.348,0.368,0.002437499992083758,0.7971911999920849
D3,1000,2,0.332,0.364,0.002980799996294081,1.0711716999940109
D3,1000,3,0.332,0.364,0.0033953000092878938,1.0354999999981374
D3,1000,4,0.412,0.436,0.0027088000206276774,0.9688099999912083
D3,3000,0,0.304,0.34,0.003673800005344674,0.9366889999946579
D3,3000,1,0.34,0.37866666666666665,0.0037066999939270318,0.7349230000108946
D3,3000,2,0.38133333333333336,0.37733333333333335,0.003582700010156259,0.8894767999881878
D3,3000,3,0.38666666666666666,0.43066666666666664,0.0028319999983068556,0.8635020999936387
D3,3000,4,0.456,0.4866666666666667,0.0028018000011797994,0.902404899999965
D4,1000,0,0.28,0.312,0.002371399983530864,0.972576600004686
D4,1000,1,0.348,0.404,0.002248500008136034,1.0616925999929663
D4,1000,2,0.396,0.428,0.0021909000060986727,0.9395105000003241
D4,1000,3,0.468,0.488,0.0026885000115726143,1.013472799997544
D4,1000,4,0.26,0.324,0.0023689999943599105,1.0005452000186779
D4,3000,0,0.408,0.412,0.0026440999936312437,0.9321616000088397
D4,3000,1,0.2693333333333333,0.2906666666666667,0.003600600000936538,0.9539157999970485
D4,3000,2,0.3466666666666667,0.37333333333333335,0.0028858000005129725,0.922366000013426
D4,3000,3,0.432,0.4613333333333333,0.002944900013972074,1.0116975999844726
D4,3000,4,0.29333333333333333,0.31733333333333336,0.003667999990284443,1.2660224999999627
